Timestamp,Human readable date,38001c001851373237343331_pedestrians,context_38001c001851373237343331_pedestrians
1.58613E+12,4/5/20 17:41,588,{}
1.58613E+12,4/5/20 17:41,589,{}
1.58613E+12,4/5/20 17:41,584,{}
1.58613E+12,4/5/20 17:42,590,{}
1.58613E+12,4/5/20 17:42,592,{}
1.58613E+12,4/5/20 17:42,593,{}
1.58613E+12,4/5/20 17:43,594,{}
1.58613E+12,4/5/20 17:43,595,{}
1.58613E+12,4/5/20 17:43,596,{}
1.58613E+12,4/5/20 17:43,597,{}
1.58613E+12,4/5/20 17:43,598,{}
1.58613E+12,4/5/20 17:43,599,{}
1.58613E+12,4/5/20 17:43,600,{}
1.58613E+12,4/5/20 17:43,601,{}
1.58613E+12,4/5/20 17:43,606,{}
1.58613E+12,4/5/20 17:43,607,{}
1.58613E+12,4/5/20 17:43,608,{}
1.58613E+12,4/5/20 17:43,609,{}
1.58613E+12,4/5/20 17:43,610,{}
1.58613E+12,4/5/20 17:43,611,{}
1.58613E+12,4/5/20 17:43,612,{}
1.58613E+12,4/5/20 17:44,614,{}
1.58613E+12,4/5/20 17:44,616,{}
1.58613E+12,4/5/20 17:44,617,{}
1.58613E+12,4/5/20 17:44,618,{}
1.58613E+12,4/5/20 17:44,619,{}
1.58613E+12,4/5/20 17:44,620,{}
1.58613E+12,4/5/20 17:44,621,{}
1.58613E+12,4/5/20 17:44,622,{}
1.58613E+12,4/5/20 17:44,623,{}
1.58613E+12,4/5/20 17:44,625,{}
1.58613E+12,4/5/20 17:44,626,{}
1.58613E+12,4/5/20 17:44,627,{}
1.58613E+12,4/5/20 17:44,628,{}
1.58613E+12,4/5/20 17:44,630,{}
1.58613E+12,4/5/20 17:45,635,{}
1.58613E+12,4/5/20 17:45,636,{}
1.58613E+12,4/5/20 17:45,637,{}
1.58613E+12,4/5/20 17:45,638,{}
1.58613E+12,4/5/20 17:45,639,{}
1.58613E+12,4/5/20 17:45,640,{}
1.58613E+12,4/5/20 17:45,641,{}
1.58613E+12,4/5/20 17:45,642,{}
1.58613E+12,4/5/20 17:45,643,{}
1.58613E+12,4/5/20 17:45,644,{}
1.58613E+12,4/5/20 17:45,645,{}
1.58613E+12,4/5/20 17:45,646,{}
1.58613E+12,4/5/20 17:45,647,{}
1.58613E+12,4/5/20 17:45,648,{}
1.58613E+12,4/5/20 17:45,649,{}
1.58613E+12,4/5/20 17:45,650,{}
1.58613E+12,4/5/20 17:45,656,{}
1.58613E+12,4/5/20 17:45,659,{}
1.58613E+12,4/5/20 17:45,660,{}
1.58613E+12,4/5/20 17:45,661,{}
